Author,Ulasan
@camaliachannel1970,&quot;Indonesia akan mjd raja energy dunia&quot;
@maskontenmas2442,Yg ada suara &quot;sudah&quot; itu dimana ya detik ke berapa? Mau saya klarifikasi
@meylanhidia1405,Bangga banget Liat Mas Gibran 🥰😍
@asiswanto6183,hajar
@rinaongka4409,Doa kami semua untuk pragib🤲🤲🤲🤲🤲🤲🤲🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩✌️✌️✌️✌️✌️✌️✌️
@ddepian6226,Gak seru. Pertanyaan dan jawaban tdk tajam. Tikatkan lagi pertanyaan dan jawaban di sesi berikutnya.
@bagusaditya8804,Sangat setuju dgn pak Mahmud tapi sayang jadi wakil nya PDI.. jadi maaf GK saya coblos
@liana_vennyyang1154,Ghibran knp cerdas bgt yak...😮
@user-up6yi6ze2t,Prabowo tetap di hati
@yulyamawarsa6359,"Apa pun cerita nya.. kita rakyat Indonesia, memilih pemimpin yg berpihak KPD rakyat Indonesia secara keseluruhan.. pak Anies Muhaimin (Amin) ok..👍"
@abcab6236,termkn iming &quot; 😂
@user-om1zk9cy7l,Kayak cerdas cermat 😅😅
@anarchy9991,Wow
@dedymarlun1388,Iklan nya pinjol
@werkudoroindonesia8954,KUR salah sasaran pak
@werkudoroindonesia8954,Ada yg betanya kepada kami kemana kemenkoPolhukam  waktu rohingya masuk? Jangan terlalu jauh pak
@werkudoroindonesia8954,"Hilirisasi HILIRISASI, narasi percepatan, semua foto copy an mas"
@werkudoroindonesia8954,Bio bio bio bio gak ada lagi???
@werkudoroindonesia8954,"Dimana angka kemiskinan, inflasi?"
@nightcreep2022,Dari Hasim Hasari kita mengetahui &quot;negara ini hanya mengenal satu agama saja&quot;
@werkudoroindonesia8954,"Kenapa gaknpek kostum ultraman, biar keliatan ganas"
@DodiDodi-tg5ym,"AMIN yg terbaik,"
@rossieagnsasmita9117,"Baca komen isinya ngomongin paslon 2, emang sekeren itu!"
@yonasboyke4244,Disini aku bisa meraba siapa yang sudah siap punya visi &amp; misi.<br>saya juga bisa meraba belum siap punya visi &amp; misi karena bicaranya melebar kemana-mana tapi belum tahu apa yang akan dilakukan. Seakan ada uang bangun sana bangun sini tapi ketika habis ya sudah berhenti... no 2 sudah siap akan melakukan ini itu. <br>no 3 aku belum bisa meraba karena terasa belum siap dalam Visi &amp; misinya.
@andigani4990,Tolong kalau yang gratis gratis jangan mudah dipercaya
@hudrisalselsol8677,"Haha semua fokus paslon ,,, gw fokus moderator nya, ga asik, kaku bet, ga kaaya yg debat pertama, dihhh"
@fahrulhidayat6957,Saya pilih Prabowo yg nolak Rohingya.. anis dukung Rohingya
@dianchristianto8745,Mntp mas gibran 👍👍
@sekolahanambarawa3146,"Jangan percaya dengan ide-ide yang tidak masuk akal karena itu janji-janji yg selalu di PHP, waktunya rakyat cerdas memilih visi &amp; misi yang masuk akal bukan Gendam politik."
@sekolahanambarawa3146,"Saatnya anak muda akan mendominasi politik Indonesia, jaman dulu orang tua semua Dan ketika aku kecill ada keinginan / merasa kita lebih bisa tapi tak bisa berbuat apa-apa di Jaman Suharto. Hari inilah waktunya kalian wahai anak muda percepatan pertumbuhan ekonomi harus di genjot... dijamin Indonesia emas di depan mata."
@rizkyale216,Mahfud ribet amat pake ganti baju segala
@rizkyale216,Slepet apa copet
@aafahmi9862,Antara yg dua Gw sih gak masalah mau prabowo atau anis yg menang asal jangan ganjar aja gak suka sama partai yg ngusung nya
@laliasti5230,Pak Gibran best ✌️👍
@yuwitaretnoaisyah9223,Apaan dah slepat slepet mulu
@mamakenzy9549,Min min😂
@poetrikartika8557,Prabowo Gibran 🎉😇😊
@mamakenzy9549,Sebagai warga jateng serius masih bingung plih gibrann apa ganjar😮
@user-rs7zo1mf7x,Prabowo kalau mau❤🎉🎉
@naningjayanti3876,Ada yg nggak setuju IKN karna  nggak Mau jauh2 dari kelompok petamburan  .
@user-qv7ep8zj4q,Sudah saatnya kita punya pemimpin seperti pak Prabowo dan mas Gibran. Lanjutkan pembangunan menuju negara yg maju
@dunialiketolike2174,Antara 2 dan 3
@duniahiburan8448,Tetap gibran❤❤❤
@badwi1467,❤
@xyzaaauu,2024 gasss prabowo gibran 🔥
@izemy740,"Bissmillah,,dengn ijin Allah&amp;ridhonya,,jdikn N02 yg mnjdi persisent RI,,Aamiinnn y Allah,,"
@serianbandungcanel2191,"Gak ke lain hati lagi, Prabowo gibran yess"
@riskiadis896,Bismilah Prabowo Gibran 2024
@ayomainkan1589,Kirain mau gugu<br>Ternyata cerdas gibran<br>Mantap lanjutkan
@itsally357,"Gus muhaimin kebanyakan kata²nya diawal, akhir nya kena slepet sendiri😅"
@user-lu9by9pe3o,Sudah waktunya Anak muda maju
@rakkaaditya9476,Good job good boy gibran saya rakka juga nih 02 bobran❤
@rakkaaditya9476,Kaciw😂 yang tadi ngedukung ikn jadi ga ngedukung ikn kaciw min min muhaimin wkwkw kocak
@hobbynontoncoy,Maaf saya GOLPUT
@dower7568,Sama aja lah dgn mu Bosz ! 😂
@alexunik9664,ALL IN PRABOWO GIBRAN 🔥
@user-hz7cq3uj8i,saya msih bingung 😮
@vhys6144,Anjeeerrr penutup dari pak mahfud banyak sekaleee... yakin ituu bakal beres 5 taon ? 😢😢😢😢
@user-uv1uk5qo5h,Udah saatnya butuh pemimpin yang fresh dan update
@uyeuyeefendi1418,Wkwkwk.. Cawapres samsul biso opo cih.. Acuan politik ente blm teruji.. Lawan tuh debat mahasiswa bru teruji.. Pake mic jgn tiga mas lbh baik lbh banyak
@makbuldestara9531,"Permisi tanya pak,,Kalau anaknya masih sekolah SD apa kita isi Instasi sekolahnya"
@user-no5kq6jy3n,Jos
@jamaeluddin8717,2&amp;3 = Joko 3priode😂😂😂😂
@user-qr8gj2fd9w,Ganjar mahput lh yg matap
@pejuangkehidupan6459,Imin imin
@ArifuddinBinZainal,Sego goreng iwak endok sgie
@masjikgaming5743,Gibran teebaik . Nggak ngomong doang tapi solusi dan cara menyelesaikan ada. Yg lain hanya bicara kulit dan janji.. bnyak hoax. Aku dukung gibran sekarang
